Os molde,Codigo do item,Descrição da peça,Consumo dia,Consumo mês
422,813265,CARCAÇA INFERIOR NEW BV,400,8800
422,813265,CARCAÇA SUPERIOR NEW BV,400,8800
130,813273,CARCAÇA INFERIOR BV4,200,4400
130,813272,CARCAÇA SUPERIOR BV4,200,4400
130,813271,CARCAÇA INFERIOR BV3,100,2200
130,813270,CARCAÇA SUPERIOR BV3,100,2200
121,813520,ARANHA SUP COM FURO M4,500,11000
121,813519,ARANHA INF COM FURO M4,500,11000
121,813238,ARANHA SUP COM FURO M5,560,12320
121,813239,ARANHA INF COM FURO M5,560,12320
421,813394,ARANHA SUP MOTOR INDUSTRIAL,9,200
421,813393,ARANHA INF MOTOR INDUSTRIAL,9,200
134,813128,GOMO ALUMÍNIO 25 CM P / CREMALHEIRA MOTOR STRONG,91,2000
129,813146,GOMO DE 25 CM P/ CREMALHEIRA ALUMÍNIO,1500,33000
281,813262,ACOPLAMENTO DO NEW BV,400,8800
281,813053,ACOPLAMENTO DO BV/PIVO,ATENÇÃO -->,
114,813281,SUPORTE ORELHA DO BV/PIVO,250,5500
220,813199,BASE DE ALUMÍNIO MOTORES DESLIZANTES,45,1000
218,813306,SUPORTE ORELHA DO NEW BV,300,6600
110,813096,ENGRENAGEM EXTERNA 17D M4 DO DESLIZANTE,560,12320
374,813241,BASE DE ALUMÍNIO INFERIOR MOTOR DZ INDUSTRIAL,9,200
374,813153,BASE DE ALUMÍNIO SUPERIOR MOTOR DZ INDUSTRIAL,9,200
374,813243,ENGRENAGEM EXTERNA MOTOR INDUSTRIAL,9,200
374,813245,ALAVANCA DESTRAVAMENTO DZ INDUSTRIAL,9,200
374,701159,PINO DESTRAVAMENTO MOTOR DZ INDUSTRIAL,9,200
436,813513,MANCAL DE JUNÇÃO DO SUPORTE DA BARREIRA (FÊMEA),7,150
436,813512,MANCAL DE JUNÇÃO DO SUPORTE DA BARREIRA (MACHO),7,150
259,813251,SEM FIM DE UMA ENTRADA ALUMÍNIO,560,12320
295,813511,PINO DESTRAVAMENTO LINHA BV / PORTA CADEADO HZ / ESTICAD. CANCELA,300,6600
